year,month,day_of_month,day_of_year,year_dec,frac_of_year,CO2
1987,5,3,122.494000000041,1987.3356,0.335600000000113,352.21
1987,5,10,129.502000000025,1987.3548,0.354800000000068,352.13
1987,5,17,136.510000000009,1987.374,0.374000000000024,352.11
1987,5,24,143.517999999992,1987.3932,0.393199999999979,352.29
1987,5,31,150.489499999985,1987.4123,0.412299999999959,352.2
1987,6,7,157.497499999969,1987.4315,0.431499999999915,351.8
1987,6,14,164.505500000035,1987.4507,0.450700000000097,351.42
1987,6,21,171.513500000019,1987.4699,0.469900000000052,351.32
1987,6,28,178.485000000012,1987.489,0.489000000000033,350.67
1987,7,5,185.492999999996,1987.5082,0.508199999999988,350.84
1987,7,12,192.500999999979,1987.5274,0.527399999999943,349.79
1987,7,19,199.508999999963,1987.5466,0.546599999999899,350.23
1987,7,26,206.51700000003,1987.5658,0.565800000000081,349.77
1987,8,2,213.488500000022,1987.5849,0.584900000000061,348
1987,8,9,220.496500000006,1987.6041,0.604100000000017,348.87
1987,8,16,227.50449999999,1987.6233,0.623299999999972,348.36
1987,8,23,234.512499999973,1987.6425,0.642499999999927,347.92
1987,8,30,241.483999999966,1987.6616,0.661599999999908,346.95
1987,9,6,248.492000000033,1987.6808,0.68080000000009,346.7
1987,9,13,255.500000000017,1987.7,0.700000000000045,346.96
1987,9,20,262.508,1987.7192,0.719200000000001,345.9
1987,9,27,269.515999999984,1987.7384,0.738399999999956,346.36
1987,10,4,276.487499999977,1987.7575,0.757499999999936,346.5
1987,10,11,283.49549999996,1987.7767,0.776699999999892,346.7
1987,10,18,290.503500000027,1987.7959,0.795900000000074,347.1
1987,10,25,297.511500000011,1987.8151,0.815100000000029,347.03
1987,11,1,304.483000000004,1987.8342,0.83420000000001,347.46
1987,11,8,311.490999999987,1987.8534,0.853399999999965,347.64
1987,11,15,318.498999999971,1987.8726,0.87259999999992,348.19
1987,11,22,325.507000000038,1987.8918,0.891800000000103,348.84
1987,11,29,332.515000000021,1987.911,0.911000000000058,348.88
1987,12,6,339.486500000014,1987.9301,0.930100000000039,348.86
1987,12,13,346.494499999998,1987.9493,0.949299999999994,349.36
1987,12,20,353.502499999981,1987.9685,0.968499999999949,349.5
1987,12,27,360.510499999965,1987.9877,0.987699999999904,349.89
1988,1,3,2.4820000000409,1988.0068,0.00680000000011205,350.26
1988,1,10,9.49000000002457,1988.026,0.0260000000000673,350.41
1988,1,17,16.4615000000174,1988.0451,0.0451000000000477,350.67
1988,1,24,23.4330000000102,1988.0642,0.064200000000028,350.83
1988,1,31,30.4045000000031,1988.0833,0.0833000000000084,351.79
