year,sit,bhvr,id
2019,2019081001,RE,16
2019,2019081002,MI-FE,119
2019,2019081003,TR,83
2019,2019081005,RE,56
2019,2019081005,MI,37
2019,2019081006,RE,20
2019,2019081006,RE,129
2019,2019081007,MI,165
2019,2019081009,MI-FE,186
2019,2019082502,MI-FE,62
2019,2019091601,RE,251
2019,2019091601,RE,114
2019,2019091603,RE,114
2019,2019091603,RE,180
2019,2019091604,MI-FE,20
2019,2019091704,MI-FE,124
2019,20190917NA,MI-FE,31
2019,2019092201,BNF,11
2019,2019092201,BNF,339
2019,2019092201,BNF,45
2019,2019093002,RE,261
2019,2019093006,MI-FE,121
2019,2019093009,TR,11
2019,2019100101,TR,60
2019,2019100102,TR,186
2019,2019100103,MI-FE,79
2019,2019100104,MI-FE,30
2019,2019100107,MI-FE-SG,114
2019,2019100109,MI-FE-SG,395
2019,2019100110,MI-FE-SG,250
2019,2019100112,MI-FE-SG,368
2019,2019100113,MI-FE-SG,252
2019,2019101001,MI-FE-SG,227
2019,2019101301,MI-FE-SG,395
2019,2019101302,MI-FE-SG,355
2019,2019101303,MI-FE-SG,168
2019,2019101304,MI-FE-SG,172
2019,2019101306,MI-FE-SG,45
2019,2019101307,MI-FE-SG,30
2019,2019101308,MI-FE-SG,190
2019,2019101309,MI-FE-SG,31
2019,2019101311,MI-FE-SG,74
2014,20140625901,BNF,59
2014,20140625901,BNF,11
2014,20140625901,BNF,16
2014,20140625902,TR,122
2014,20140625902,TR,122
2014,20140625912,BNF,118
2014,20140625912,BNF,238
2014,20140625912,BNF,434
2014,20140625912,BNF,177
2014,20140625913,BNF,93
2014,20140625914,BNF,96
2014,20140625914,BNF,118
2014,20140625914,BNF,178
2014,20140626901,BNF,178
2014,20140626901,BNF,11
2014,20140626901,BNF,16
2014,20140626901,BNF,59
2014,20140626903,TR,122
2014,20140626905,TR,96
2014,20140626907,BNF,93
2014,20140626907,BNF,434
2014,20140626907,BNF,118
2014,20140627903,TR,178
2014,20140627903,TR,118
2014,20140627903,TR,59
2014,20140627903,TR,11
2014,20140627903,TR,16
2014,20140627903,TR,122
2014,20140628901,BNF,59
2014,20140628901,BNF,11
2014,20140628901,BNF,96
2014,20140628901,BNF,16
2014,20140628901,BNF,42
2014,20140628901,BNF,122
2014,20140628901,MI-TR,74
2014,20140628902,TR,337
2014,20140628910,BNF,172
2014,20140628912,BNF,340
2014,20140628912,BNF,59
2014,20140628912,BNF,74
2014,20140628912,BNF,118
2014,20140628912,BNF,11
2014,20140628912,BNF,434
2014,20140629901,BNF,59
2014,20140629901,BNF,11
2014,20140629901,BNF,177
2014,20140629901,BNF,16
2014,20140629901,BNF,74
2014,20140629901,BNF,96
2014,20140629901,BNF,118
2014,20140630901,BNF,352
2014,20140630902,BNF,11
2014,20140630902,BNF,59
2014,20140630902,BNF,16
2014,20140630902,BNF,74
2014,20140704901,TR,108
2014,20140705901,TR,122
2014,20140708901,TR,11
2014,20140709902,BNF,59
2014,20140709902,BNF,11
2014,20140709902,BNF,96
2014,20140709902,BNF,118
2014,20140709902,BNF,93
2014,20140709902,BNF,83
2014,20140709902,BNF,174
2014,20140709909,TR,58
2014,20140710901,ROBUST,93
2014,20140710906,BNF,174
2014,20140710906,BNF,118
2014,20140710906,BNF,59
2014,20140710906,BNF,11
2014,20140710906,BNF,118
2014,20140710908,TR,57
2014,20140710908,BNF,59
2014,20140710908,BNF,59
2014,20140710908,BNF,74
2014,20140710910,BNF,118
2014,20140710910,BNF,122
2014,20140710910,BNF,118
2014,20140710910,BNF,59
2014,20140710910,BNF,11
2014,20140710911,BNF,59
2014,20140710911,BNF,11
2014,20140710911,BNF,174
2014,20140710911,BNF,118
2014,20140711902,BNF,59
2014,20140711902,BNF,11
2014,20140711903,TR,174
2014,20140711903,TR,16
2014,20140711903,TR,118
2014,20140711903,TR,42
2014,20140711904,BNF,174
2014,20140711904,BNF,11
2014,20140711904,BNF,59
2014,20140711904,BNF,118
2014,20140711904,BNF,42
2014,20140711904,BNF,118
2014,20140712901,TR,16
2014,20140712901,TR,118
2014,20140712902,BNF,16
2014,20140712902,BNF,42
2014,20140712902,BNF,122
2014,20140715901,ROBUST,177
2014,20140720901,BNF,59
2014,20140720901,BNF,11
2014,20140720901,BNF,118
2014,20140721901,BNF,103
2014,20140721901,BNF,104
2014,20140721901,BNF,118
2014,20140721901,BNF,59
2014,20140721902,BNF,11
2014,20140721902,BNF,93
2014,20140721903,BNF,59
2014,20140721903,BNF,24
2014,20140721903,BNF,11
2014,20140721904,TR,93
2014,20140721904,TR,103
2014,20140721904,TR,24
2014,20140722901,BNF,59
2014,20140722901,BNF,11
2014,20140722901,BNF,118
2014,20140722901,BNF,104
2014,20140723901,BNF,16
2014,20140723901,BNF,96
2014,20140723901,BNF,122
2014,20140723901,BNF,174
2014,20140723901,BNF,59
2014,20140723901,BNF,93
2014,20140724903,BNF,59
2014,20140724903,BNF,11
2014,20140724903,BNF,80
2014,20140724908,TR,80
2014,20140724908,TR,24
2014,20140725901,BNF,59
2014,20140725901,BNF,11
2014,20140725901,BNF,118
2014,20140725901,BNF,96
2014,20140725902,BNF,81
2014,20140725902,BNF,81
2014,20140725902,BNF,96
2014,20140725903,BNF,96
2014,20140725903,BNF,96
2014,20140725903,BNF,74
2014,20140725903,BNF,57
2014,20140725904,BNF,83
2014,20140725904,BNF,96
2014,20140725904,BNF,96
2014,20140725904,BNF,11
2014,20140725904,BNF,80
2014,20140725904,BNF,59
2014,20140725904,BNF,74
2014,20140725904,BNF,118
2014,20140726902,BNF,59
2014,20140726902,BNF,118
2014,20140726902,BNF,11
2014,20140726902,BNF,96
2014,20140726903,TR,83
2014,20140726904,TR,57
2014,20140726905,TR,96
2014,20140728904,TR,105
2014,20140729902,TR,99
2014,20140729908,BNF,74
2014,20140729908,BNF,80
2014,20140729908,BNF,103
2014,20140729908,BNF,178
2014,20140729908,BNF,174
2014,20140729908,BNF,96
2014,20140729908,BNF,42
2014,20140731906,TR,96
2014,20140731906,TR,57
2014,20140731908,BNF,174
2014,20140731908,BNF,103
2014,20140731908,BNF,434
2014,20140731908,BNF,16
2014,20140731908,BNF,133
2014,20140731908,BNF,118
2014,20140731908,BNF,122
2014,20140731908,BNF,96
2014,20140731908,BNF,74
2014,20140731908,BNF,42
2014,20140731908,BNF,93
2014,20140731908,BNF,57
2014,20140801901,TR,133
2014,20140801901,TR,174
2014,20140802903,BNF,434
2014,20140802903,BNF,133
2014,20140802903,BNF,95
2014,20140802903,BNF,122
2014,20140802903,BNF,57
2014,20140802904,BNF,122
2014,20140802904,BNF,93
2014,20140802904,BNF,103
2014,20140802904,BNF,16
2014,20140802904,BNF,96
2014,20140802904,BNF,434
2014,20140806902,BNF,122
2014,20140806902,BNF,174
2014,20140806902,BNF,118
2014,20140806902,BNF,95
2014,20140806902,BNF,93
2014,20140807906,BNF,24
2014,20140807906,BNF,42
2014,20140807908,BNF,59
2014,20140807908,BNF,133
2014,20140807908,BNF,11
2014,20140807908,BNF,93
2014,20140809901,TR,174
2014,20140809903,BNF,93
2014,20140809903,BNF,59
2014,20140809903,BNF,11
2014,20140809907,BNF,24
2014,20140810901,BNF,133
2014,20140814905,TR,103
2014,20140815901,BNF,103
2014,20140815901,BNF,174
2014,20140821902,BNF,103
2014,20140821902,BNF,95
2015,20150608906,KR,45
2015,20150617901,BNF,58
2015,20150617901,BNF,42
2015,20150617901,BNF,118
2015,20150617902,BNF,96
2015,20150617902,BNF,16
2015,20150617902,BNF,57
2015,20150617902,BNF,133
2015,20150625901,TR,435
2015,20150625901,TR,133
2015,20150625901,TR,95
2015,20150625901,TR,42
2015,20150625902,BNF,29
2015,20150625903,BNF,59
2015,20150625904,BNF,96
2015,20150625904,BNF,445
2015,20150625904,BNF,103
2015,20150625904,BNF,118
2015,20150625904,BNF,58
2015,20150625904,BNF,16
2015,20150627901,ROBUST,96
2015,20150627901,ROBUST,133
2015,20150627901,ROBUST,339
2015,20150708901,BNF,59
2015,20150709901,BNF,104
2015,20150709901,BNF,178
2015,20150709901,BNF,103
2015,20150709901,BNF,118
2015,20150709901,BNF,59
2015,20150709901,BNF,174
2015,20150709901,BNF,96
2015,20150709901,BNF,189
2015,20150709901,BNF,57
2015,20150709901,BNF,58
2015,20150711901,TR,118
2015,20150711902,KR,177
2015,20150711902,KR,58
2015,20150711903,KR,339
2015,20150711903,KR,178
2015,20150711904,BNF,104
2015,20150711904,BNF,103
2015,20150711904,BNF,93
2015,20150714902,BNF,93
2015,20150714902,BNF,16
2015,20150714902,BNF,96
2015,20150714902,BNF,42
2015,20150714902,BNF,178
2015,20150714902,BNF,133
2015,20150716901,BNF,174
2015,20150716901,BNF,42
2015,20150716901,BNF,96
2015,20150716901,BNF,178
2015,20150716901,BNF,133
2015,20150719906,,96
2015,20150719906,RE-TR,74
2015,20150719906,RE-TR,59
2015,20150726901,BNF,445
2015,20150726902,BNF,133
2015,20150726902,BNF,59
2015,20150726902,BNF,58
2015,20150726902,BNF,340
2015,20150726902,BNF,96
2015,20150726902,BNF,74
2015,20150726902,BNF,339
2015,20150726903,BNF,44
2015,20150726903,BNF,118
2015,20150726903,BNF,11
2015,20150726903,BNF,178
2015,20150731904,BNF,96
2015,20150812901,BNF,59
2015,20150812901,BNF,11
2015,20150812901,BNF,42
2015,20150822902,TR,141
2016,20160527901,TR,59
2016,20160529901,TR,93
2016,20160529901,TR,118
2016,20160529901,TR,42
2016,20160529901,TR,339
2016,20160529904,TR,141
2016,20160601901,BNF,445
2016,20160601901,BNF,96
2016,20160601901,BNF,103
2016,20160601901,BNF,178
2016,20160601901,BNF,95
2016,20160601901,BNF,42
2016,20160601901,BNF,118
2016,20160602902,BNF,178
2016,20160603905,TR,141
2016,20160603905,TR,93
2016,20160604901,TR,435
2016,20160606904,ROBUST,266
2016,20160610908,BNF,95
2016,20160611901,TR,133
2016,20160615901,TR,42
2016,20160615901,TR,96
2016,20160615901,TR,392
2016,20160616901,BNF,42
2016,20160616901,BNF,392
2016,20160616901,BNF,103
2016,20160616901,BNF,93
2016,20160616901,BNF,435
2016,20160616901,BNF,58
2016,20160616901,BNF,74
2016,20160616902,TR,141
2016,20160616903,BNF,96
2016,20160616903,BNF,59
2016,20160617902,BNF,42
2016,20160617902,BNF,103
2016,20160617902,BNF,392
2016,20160617902,BNF,96
2016,20160617902,BNF,445
2016,20160617908,TR,178
2016,20160621902,TR,435
2016,20160621902,TR,392
2016,20160621903,TR,177
2016,20160621904,TR,96
2016,20160622901,TR,141
2016,20160622902,TR,172
2016,20160622903,BNF,42
2016,20160622903,BNF,103
2016,20160622903,BNF,178
2016,20160622907,TR,124
2016,20160622912,BNF,445
2016,20160622912,BNF,95
2016,20160622912,BNF,59
2016,20160622912,BNF,93
2016,20160622912,BNF,122
2016,20160622912,BNF,133
2016,20160623904,MI,442
2016,20160627901,TR,103
2016,20160627901,TR,42
2016,20160627905,TR,174
2016,20160627906,TR,108
2016,20160627906,TR,108
2016,20160628902,BNF,59
2016,20160628902,BNF,11
2016,20160628902,BNF,445
2016,20160629904,BNF,141
2016,20160629904,BNF,445
2016,20160629904,BNF,122
2016,20160629904,BNF,16
2016,20160629905,BNF,133
2016,20160629905,BNF,59
2016,20160629906,TR,177
2016,20160629907,BNF,178
2016,20160709901,TR,103
2016,20160719901,TR,368
2016,20160720906,TR,78
2016,20160729902,BNF,59
2016,20160729902,BNF,11
2016,20160812901,ROBUST,141
2014,20140518903,TR,442
2014,20140520903,TR,147
2014,20140526901,BNF,172
2014,20140529904,MI,450
2014,20140529906,TR,442
2014,20140605901,MI,251
2014,20140610902,TR,172
2014,20140610902,TR,45
2014,20140701901,MI,355
2014,20140706901,BNF,339
2014,20140706901,BNF,249
2014,20140706901,BNF,249
2014,20140706901,BNF,340
2014,20140706902,BNF,251
2014,20140707901,BNF,339
2014,20140707901,BNF,340
2014,20140707904,RE-TR,251
2014,20140708902,TR,59
2014,20140708905,TR,79
2014,20140720901,TR,212
2014,20140723902,TR,43
2014,20140723903,TR,212
2014,20140723907,TR,105
2014,20140725901,MI,447
2014,20140725902,TR,116
2014,20140806902,RE-TR,337
2014,20140806908,SG,56
2014,20140806908,SG,121
2014,20140831901,SG,103
2014,20140831901,SG,251
2014,20140831902,SG,16
2014,20140911901,SG-FE,178
2014,20140911901,SG-FE,31
2014,20140919901,KR,31
2014,20140919902,TR,124
2014,20140920902,TF,147
2014,20140922901,RE,147
2014,20140922902,MI-FE,252
2014,20140922903,MI-FE,20
2014,20140922903,MI-FE,106
2014,20140922903,MI-FE,133
2014,20140922904,KR,212
2014,20140926901,TR,448
2014,20140929902,TR,25
2014,20140929903,TR,227
2014,20140929904,LF,147
2014,20140929904,LF,25
2014,20141009901,SG-TR,186
2014,20141009901,SG-TR,238
2014,20141013901,MI-FE,339
2014,20141015901,TR,168
2014,20141015901,TR,143
2014,20141015902,SG-FE,105
2014,20141015902,SG-FE,180
2014,20141015904,SG-FE,57
2014,20141016904,SG-FE,45
2014,20141018901,MI-FE,340
2014,20141018902,RE-TR,165
2014,20141018902,RE-TR,129
2014,20141018903,RE-TR,168
2014,20141101901,RE-TR,105
2014,20141101902,TR,147
2015,20150424907,RE-TR,147
2015,20150425902,RE-TR,266
2015,20150426902,MI-FE,266
2015,20150506909,MI-FE,266
2015,20150509901,MI-FE,269
2015,20150509906,MI-FE,269
2015,20150510907,MI-FE,256
2015,20150511902,MI-FE,269
