id,species,behavior,prey.volume,prey.depth,dive.time,surface.time,blow.interval,blow.number
20140822102,FW,FEED,NA,NA,NaN,237,58.75,5
20140822103,FW,FEED,NA,NA,NaN,67,36.5,2
20140822107,FW,FEED,NA,NA,189.5,53,16.333,4
20140823101,HW,OTHER,5.90034958,121.97,NaN,120,16.571,8
20140823106,HW,FEED,-1,NA,353,72.5,17.245,5
20140823109,HW,FEED,4.186218542,41.64,NaN,NaN,17.5,NaN
20140824102,HW,FEED,7.961021466,75.1,140.25,73.5,13.4,5.667
20140824103,HW,OTHER,-1,NA,155,NaN,17.5,NaN
20140824105,HW,OTHER,4.292781401,112.98,NaN,NaN,62,NaN
20140824110,FW,OTHER,1.081126974,76.01,100,83,35,2
20140824112,FW,OTHER,3.878104212,139.74,257,175,14.25,13
20140824113,HW,FEED,6.349683424,126.69,NaN,221,18.846,12
20140824116,HW,OTHER,4.769831718,130.16,260,55,35,NaN
20140824118,HW,FEED,3.422962135,112.36,318,256,NaN,NaN
20140824121,HW,OTHER,5.126891238,140.34,114,NaN,33,NaN
20140824122,HW,OTHER,5.383776915,125.01,111,NaN,41.4,NaN
20140824126,HW,OTHER,3.420225199,122.37,NaN,NaN,20.916,NaN
20140824127,HW,OTHER,3.277793579,125.05,146,53,27,3
20140825101,HW,OTHER,2.061061153,69.91,512,NaN,NaN,NaN
20140825103,HW,OTHER,2.615744836,NA,337,NaN,NaN,NaN
20140825104,HW,FEED,7.258062089,107.88,412,35,20.5,2
20140825107,HW,OTHER,NA,NA,NaN,NaN,43.857,NaN
20140825108,HW,OTHER,NA,NA,407,41,12,4
20140825109,HW,FEED,4.842002024,82.11,334,106,19.667,6.5
20140825111,HW,OTHER,NA,NA,NaN,NaN,32.667,NaN
20140825112,HW,OTHER,NA,NA,NaN,212,35.167,7
20140825113,FW,FEED,NA,NA,596,107,86.444,7
20140825115,FW,FEED,6.887493794,96.82,230.5,41.5,15.6,3.5
20140825116,HW,FEED,7.169946836,79.43,154.5,354,34.059,7
20140825121,HW,FEED,5.585304823,41.32,86,80.75,14,6.25
20140825122,HW,FEED,NA,NA,NaN,NaN,17,NaN
20140827101,HW,FEED,2.161551342,169.02,371,76,40.333,2
20140827102,HW,OTHER,-1,NA,155,NaN,35,NaN
20140827104,FW,OTHER,1.748921555,167.75,NaN,NaN,20,NaN
20140827105,HW,OTHER,3.435125266,159.22,NaN,NaN,13,NaN
20140827106,FW,OTHER,2.615576661,155.39,546,195,18.8,11
20140827110,FW,OTHER,4.847547575,140.02,554,174,15.35,12
20140827111,FW,OTHER,2.731252272,128.55,491,205,23.6,10
20140827112,HW,OTHER,2.731252272,128.55,NaN,NaN,27,NaN
20140827116,HW,OTHER,NA,NA,197.5,34,16.75,2.333
20140827122,HW,OTHER,3.411180715,134.43,443.25,101,21.51,5.333
20140827123,HW,FEED,6.688380118,97.91,NaN,NaN,24.143,NaN
20140827126,FW,FEED,5.711513844,101.17,NaN,NaN,22.667,NaN
20140827128,HW,OTHER,NA,NA,NaN,62,13.625,5
20140828107,HW,FEED,5.667916927,128.22,NaN,NaN,32,NaN
20140828109,FW,FEED,6.479733624,128.42,437,139,16.062,10
20140828110,HW,FEED,6.221646272,133.51,280.5,188,19,NaN
20140828111,FW,FEED,5.711245887,138.28,539,148,17.136,10
20140828112,HW,OTHER,1.00063188,NA,173,NaN,NaN,NaN
20140828115,HW,FEED,3.67211725,115.73,521,152,25.5,6.5
20140828120,HW,FEED,7.339768253,104.4,200.5,42,12.833,4
20140828121,HW,OTHER,7.276241415,78.99,NaN,146,19.857,8
20140828123,HW,OTHER,7.276241415,78.99,488,NaN,NaN,NaN
20140831101,HW,FEED,7.801678677,84.08,536.889,127.889,16.554,8.333
20140831102,HW,FEED,8.255199372,83.34,203,93,19.667,5
20140831106,HW,FEED,6.719613216,91.56,405,175.5,30.2,8
20140831107,HW,OTHER,6.426867027,124.15,384,99.75,25.875,4.25
20140902201,HW,OTHER,NA,NA,412,119,22.6,6
20140902202,HW,OTHER,4.72025269,115.78,391.5,199.5,27.73,8
20140902203,HW,OTHER,1.753139909,87.78,287,64,32,3
20140902204,HW,OTHER,1.554009766,53.25,NaN,104,14.429,8
20140902208,HW,FEED,2.786466972,73.92,101.5,28.5,17,2.667
20140902209,HW,OTHER,2.953090917,90.55,354,NaN,14.571,NaN
20140902210,HW,FEED,5.344889358,96,389,66,13.5,8.5
20140902212,HW,OTHER,4.742161337,116.67,448,112,21.6,6
20140903203,HW,FEED,6.376778477,113.09,310.5,136,13.737,11
20140903204,HW,OTHER,6.826566048,118.82,NaN,196,62.333,4
20140903206,FW,OTHER,3.059134212,115.6,604.5,170,20.222,9
20140903207,HW,OTHER,0.587786665,NA,199.5,13.5,22.166,1.5
20140903211,FW,OTHER,2.419950264,122.35,NaN,NaN,23.75,NaN
20140904201,HW,OTHER,2.476025664,117.17,368,136,31.455,4.667
20140904202,FW,FEED,4.759621106,124.66,430.75,151.459,19.267,9.541
20140904203,HW,OTHER,3.705183321,156.37,172,10,20.625,2
20140904204,HW,OTHER,3.444416501,156.91,NaN,NaN,31.333,8
20140904205,FW,FEED,3.508579852,140.19,363.556,94.556,17.902,4.889
20140904208,HW,OTHER,2.61868697,133.27,288.75,76,25,3
20140905202,HW,FEED,3.914906843,49.02,247,122.125,29.318,4.5
20140905207,HW,FEED,5.338126849,57.18,NaN,NaN,47.344,NaN
20140905210,HW,FEED,NA,NA,245,NaN,17.5,NaN
20140905212,HW,FEED,5.58957068,24.68,67,88,39.889,4
20140906203,HW,FEED,7.597152437,90.02,221,2.667,NaN,1
20140906204,HW,FEED,7.355593179,75.09,295,97.333,13.125,5.667
20140906205,HW,FEED,7.237640368,78.96,368,76.5,17.1,5
20140906209,HW,FEED,7.140453043,85.74,NaN,89,NaN,NaN
20140906212,HW,OTHER,4.259703621,83.54,153.5,93,33,2
20140906213,HW,FEED,5.344830655,101.96,442,178,24.571,8
20140906214,HW,OTHER,0.715446688,NA,316,108,25.75,6
20140906216,HW,OTHER,2.771406774,110.48,226,137,38.889,4
20140907205,HW,FEED,NA,NA,449.5,135,25.416,6
20140907206,HW,FEED,5.345861517,103.93,82.625,9.75,28.75,1.25
20140907208,HW,FEED,8.014183775,107.92,171,NaN,14.25,NaN
20140907211,HW,OTHER,7.008681206,110.55,NaN,161.5,13.856,12.5
20140907212,HW,FEED,6.945265877,114.19,372,108,13.714,9
20140908202,HW,OTHER,5.71384666,116.04,109,87,43,1
20140909201,HW,OTHER,-0.152219213,NA,229.5,76,23.4,2
20140909202,HW,OTHER,7.383439742,142.47,185,71,44.607,3
20140909203,HW,OTHER,5.962144896,157.73,506,NaN,NaN,NaN
20140909204,FW,FEED,7.675057066,143.88,435.5,149.8,18.256,9.8
20140909205,HW,OTHER,7.877654794,143.28,280,65,23.6,4.333
20140909211,HW,OTHER,4.704093829,32.13,151,78.667,35.333,3
20140909215,HW,OTHER,3.278754757,104.68,170,223,36.667,3.5
20140910202,FW,FEED,NA,NA,321,100,19,6
20140910203,HW,OTHER,NA,NA,252,35.333,18,2.333
20140910211,HW,OTHER,7.369601666,93.22,271.666,51.667,25.334,3
20140910215,FW,OTHER,7.375002112,93.21,190.5,19,23.667,2
20140910219,HW,FEED,3.232968061,34.08,69,NaN,6.5,NaN
20140911203,HW,FEED,7.710569315,112.68,NaN,109,15,8
20140911204,HW,OTHER,6.789783688,114.69,238,96,27.334,5
20140911205,FW,FEED,NA,NA,398,267,32.357,9
20140911209,HW,OTHER,NA,NA,NaN,NaN,48.875,NaN
20140911210,HW,OTHER,NA,NA,195,268,33.556,6.333
20150527104,HW,OTHER,7.447503872,54.68,248,55,14.182,4.667
20150527105,HW,FEED,6.808619129,42.45,74.857,30.5,13.333,1.833
20150528101,HW,FEED,5.63062523,92.88,216,93.333,23.818,4.667
20150528104,FW,FEED,5.935430824,97.08,482.5,58,13.429,6
20150528107,HW,OTHER,7.971390645,96.93,294,94,22.5,5
20150528109,HW,FEED,7.230851309,108.04,392,129,20.833,7
20150528110,HW,OTHER,5.768875217,114.03,195,126,57.5,3
20150530108,HW,OTHER,7.31217731,63.63,277,33.5,23.334,1.5
20150530112,HW,OTHER,6.62435111,71.27,NaN,63,18.5,3
20150530114,HW,OTHER,4.963004757,96.88,579,163,110,2
20150530115,HW,OTHER,7.821209752,79.83,70.5,133.75,133.5,2
20150602101,HW,OTHER,3.789898308,129.24,485,44,23.75,1
20150602104,HW,OTHER,5.600907017,127.57,440,83,49.5,2
20150602106,HW,FEED,1.657866106,110.18,115.667,68,38.4,2.667
20150602110,HW,OTHER,6.783257022,76.05,NaN,NaN,39.5,NaN
20150606103,HW,FEED,8.025083265,59.01,253.583,52.834,11.262,5.333
20150606106,HW,OTHER,6.344390497,58.55,581,107,17.25,6
20150607102,HW,OTHER,7.022214753,60.13,NaN,45,12.333,4
20150607103,HW,OTHER,7.164981752,56.8,NaN,101.5,16.166,7
20150607104,HW,OTHER,4.515348318,103.85,477,145,44.333,4
20150608102,HW,FEED,5.641276376,87.95,NaN,96,30.333,4
20150608104,HW,FEED,6.572880406,87.58,NaN,NaN,22,NaN
20150609101,HW,FEED,6.319919013,77.81,316,42.667,10.8,4.333
20150609102,HW,OTHER,6.005868313,78.28,369,131.75,21.562,6.25
20150609105,FW,FEED,7.261732618,77.82,150,90.5,18.142,5.833
20150609107,HW,FEED,5.458654017,81.7,204,48,23.5,3
20150609111,HW,FEED,7.820529234,95.06,329,134.5,14.836,10
20150609112,HW,FEED,3.540005246,109.05,1058,94,17.2,6
20150609113,HW,OTHER,6.141512967,84.5,353,125,58.875,3
20150609115,HW,OTHER,6.528755845,71.55,NaN,78,14.4,6
20150610101,HW,FEED,6.183607507,60.21,225,61.5,16.833,4.5
20150610103,HW,OTHER,6.418607321,71.16,449.667,147,18.286,8.5
20150610106,HW,FEED,7.545089387,85.84,267.75,147.833,18.219,8.6
20150610107,FW,FEED,7.660422236,107.92,486.125,133.041,19.609,7.534
20150610111,HW,FEED,NA,NA,441.667,106.333,13.773,8.667
20150610112,HW,OTHER,3.069187175,81.06,40.125,39,27.538,2.286
20150610115,HW,FEED,6.000514473,80.19,NaN,116,17,7
